time	step	loss	lr	acc
01-08 04:13	1000	4.918361663818359	0.0009462214657359972	0.0175
01-08 04:18	2000	3.6841750144958496	0.000879885201735999	0.1025
01-08 04:23	3000	3.2966036796569824	0.0008135489377360007	0.1225
01-08 04:28	4000	3.5611820220947266	0.0007472126737360025	0.065
01-08 04:34	5000	3.2286839485168457	0.0006808764097360042	0.1325
01-08 04:39	6000	2.9820339679718018	0.000614540145736006	0.1525
01-08 04:44	7000	2.9239964485168457	0.0005482038817360077	0.1475
01-08 04:49	8000	2.762258768081665	0.00048186761773600934	0.15
01-08 04:55	9000	2.672461986541748	0.00041553135373601	0.1375
01-08 05:00	10000	2.6116182804107666	0.00034919508973601176	0.1075
01-08 05:05	11000	2.5943074226379395	0.0002828588257360135	0.15
01-08 05:10	12000	2.5531375408172607	0.0002165225617360131	0.1575
01-08 05:15	13000	2.5214028358459473	0.00015018629773601113	0.1525
01-08 05:21	14000	2.498117208480835	8.385003373600762e-05	0.1525
01-08 05:26	15000	2.4847917556762695	1.751376973600173e-05	0.1475
01-08 05:44	1000	4.636990070343018	9.462214657359948e-05	0.255
01-08 05:49	2000	3.5034546852111816	8.798852017359894e-05	0.5
01-08 05:55	3000	2.5131144523620605	8.135489377359827e-05	0.6475
01-08 06:00	4000	1.6877026557922363	7.472126737359751e-05	0.6975
01-08 06:05	5000	0.955906867980957	6.808764097359687e-05	0.765
01-08 06:10	6000	0.5556598901748657	6.145401457359607e-05	0.7975
01-08 06:15	7000	0.29849785566329956	5.4820388173596524e-05	0.825
01-08 06:21	8000	0.19516170024871826	4.818676177359735e-05	0.835
01-08 06:26	9000	0.11390696465969086	4.155313537359847e-05	0.84
01-08 06:31	10000	0.06835649907588959	3.491950897359977e-05	0.8625
01-08 06:36	11000	0.04221341386437416	2.8285882573600744e-05	0.8625
01-08 06:42	12000	0.029331762343645096	2.1652256173600584e-05	0.8525
01-08 06:47	13000	0.018021591007709503	1.5018629773600385e-05	0.8575
01-08 06:52	14000	0.013958354480564594	8.38500337360022e-06	0.855
01-08 06:57	15000	0.011795985512435436	1.7513769736000547e-06	0.8575
