time	step	loss_train	lr	loss_val
01-08 05:08	1000	0.8491292595863342	9.645092821113854e-05	0.9408512711524963
01-08 05:10	2000	0.8246685862541199	9.225243048961906e-05	0.9375044107437134
01-08 05:12	3000	0.8363493084907532	8.805393276809942e-05	0.9378584325313568
01-08 05:14	4000	0.8017708659172058	8.385543504657979e-05	0.9273825287818909
01-08 05:16	5000	0.7806540727615356	7.965693732506016e-05	0.9287621974945068
01-08 05:18	6000	0.8066259026527405	7.54584396035405e-05	0.9355646967887878
01-08 05:20	7000	0.7953037023544312	7.125994188202066e-05	0.8915745913982391
01-08 05:22	8000	0.829845130443573	6.706144416050062e-05	0.869077205657959
01-08 05:24	9000	0.7385718822479248	6.286294643898065e-05	0.8655818104743958
01-08 05:26	10000	0.7809921503067017	5.866444871746139e-05	0.8592422902584076
01-08 05:28	11000	0.7477623224258423	5.446595099594307e-05	0.8587217032909393
01-08 05:30	12000	0.7348881363868713	5.026745327442482e-05	0.850330114364624
01-08 05:32	13000	0.7127718925476074	4.606895555290675e-05	0.8489561975002289
01-08 05:34	14000	0.7113237977027893	4.187045783138877e-05	0.8466142416000366
01-08 05:36	15000	0.7542316317558289	3.767196010987094e-05	0.8350155055522919
01-08 05:38	16000	0.7066752314567566	3.347346238835335e-05	0.8406100869178772
